CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-03-01 00:00,mm,82.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-04-01 00:00,mm,208.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-05-01 00:00,mm,253.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-06-01 00:00,mm,66.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-07-01 00:00,mm,107.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-08-01 00:00,mm,142.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-09-01 00:00,mm,145,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-10-01 00:00,mm,91.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-11-01 00:00,mm,156.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1973-12-01 00:00,mm,60.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-01-01 00:00,mm,61.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-02-01 00:00,mm,87.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-03-01 00:00,mm,86.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-04-01 00:00,mm,168.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-05-01 00:00,mm,266.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-06-01 00:00,mm,47.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-07-01 00:00,mm,53.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-08-01 00:00,mm,12.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-09-01 00:00,mm,248.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-10-01 00:00,mm,178.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-11-01 00:00,mm,119.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1974-12-01 00:00,mm,96.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-01-01 00:00,mm,18.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-02-01 00:00,mm,145.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-03-01 00:00,mm,230.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-04-01 00:00,mm,52.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-06-01 00:00,mm,75.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-07-01 00:00,mm,84.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-08-01 00:00,mm,97.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-09-01 00:00,mm,215.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-10-01 00:00,mm,294.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-11-01 00:00,mm,105.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1975-12-01 00:00,mm,63,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-01-01 00:00,mm,119.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-02-01 00:00,mm,87.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-03-01 00:00,mm,256.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-04-01 00:00,mm,97.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-05-01 00:00,mm,258.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-06-01 00:00,mm,28.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-07-01 00:00,mm,0,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-08-01 00:00,mm,28.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-09-01 00:00,mm,52.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-10-01 00:00,mm,87.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-11-01 00:00,mm,152.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1976-12-01 00:00,mm,129.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-01-01 00:00,mm,12,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-02-01 00:00,mm,242.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-03-01 00:00,mm,130.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-04-01 00:00,mm,59.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-05-01 00:00,mm,104.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-06-01 00:00,mm,233.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-07-01 00:00,mm,27.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-08-01 00:00,mm,56.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-09-01 00:00,mm,111,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-10-01 00:00,mm,289,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-11-01 00:00,mm,206.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1977-12-01 00:00,mm,102.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-01-01 00:00,mm,28.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-02-01 00:00,mm,100.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-03-01 00:00,mm,185.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-04-01 00:00,mm,220.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-05-01 00:00,mm,257.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-06-01 00:00,mm,39.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-07-01 00:00,mm,22.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-08-01 00:00,mm,42.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-09-01 00:00,mm,309.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-10-01 00:00,mm,179.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-11-01 00:00,mm,162.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1978-12-01 00:00,mm,136.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-01-01 00:00,mm,67.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-02-01 00:00,mm,41.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-03-01 00:00,mm,114.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-04-01 00:00,mm,195.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-05-01 00:00,mm,157.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-06-01 00:00,mm,11.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-07-01 00:00,mm,11.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-08-01 00:00,mm,83.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-09-01 00:00,mm,234.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-10-01 00:00,mm,265.2,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-11-01 00:00,mm,52.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1979-12-01 00:00,mm,32.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-01-01 00:00,mm,115.5,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-02-01 00:00,mm,50.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-03-01 00:00,mm,67.9,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-04-01 00:00,mm,93.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-05-01 00:00,mm,65.3,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-06-01 00:00,mm,56.8,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-07-01 00:00,mm,32.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-08-01 00:00,mm,62.1,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-09-01 00:00,mm,43.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-10-01 00:00,mm,304.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-11-01 00:00,mm,108.7,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1980-12-01 00:00,mm,57.4,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-01-01 00:00,mm,10.6,Definitivo
21215080,CHICORAL [21215080],PRECIPITACION,Precipitación total mensual,1981-02-01 00:00,mm,163.5,Definitivo
